word,pos
កន្ទុយក្រពើ,ន.
កន្ទុយចចក,ន.
កន្ទុយឆ្កែ,ន.
កន្ទុយដំរី,ន.
កន្ទុយថ្លែន,ន.
កន្ទុយលឹន,ន.
កន្ទុល,ន.
កន្ទូតអូង,ន.
កន្ទួត,ន.
កន្ទួតប្រោង,ន.
កន្ទួតព្រៃ,ន.
កន្ទួល,ន.
កន្ទើញ,ន.
កន្ទេចអាល,ន.
កន្ទេល,ន.
កន្ទែក,គុ.
កន្ទោក,ន.
កន្ទោង,ន.
កន្ទុំរុយ,ន.
កន្ទាំងបាយស,ន.
កន្ទាំងហែ,ន.
កន្ទះរា,គុ.
កន្ទ្រង់,ន.
កន្ទ្រម,គុ.
កន្ទ្រល,គុ.
កន្ទ្រាញ,គុ.
កន្ទ្រឹស,គុ.
កន្ទ្រុប,គុ.
កន្ទ្រួក,គុ.
កន្ទ្រួប,គុ.
កន្ទ្រើង,គុ.
កន្ទ្រែត,គុ.
កន្ទ្រោក,ន.
កន្ទ្រោកដំរី,ន.
កន្ទ្រុំ,ន.
កន្ទ្រាំ,ន.
កន្ធរ,ន.
កន្ធា,គុ.
កន្ធាញ,គុ.
កន្ធាត់,គុ.
កន្ធាយ,ន.
កន្ធិងកន្ធាំង,គុ.
កន្ធីង,គុ.
កន្ធឹប,គុ.
កន្ធុក,គុ.
កន្ធុច,គុ.
កន្ធុល,គុ.
កន្ធួក,គុ.
កន្ធែក,កិ.
កន្ធាំង,កិ.
កន្យា,ន.
កន្លង,កិ.
កន្លងខ្នប់,ន.
កន្លងភ្នំ,ន.
កន្លង់,ន.
កន្លាត,ន.
កន្លាស់,ន.
កន្លុក,ប.
កន្លុះ,ន.
កន្លើត,ន.
កន្លើតចក,ន.
កន្លៀត,ន.
កន្លេង,គុ.
កន្លែង,ន.
កន្លោង,ន.
កន្លះ,គុ.
កន្សែង,ន.
កន្សៃ,ន.
កន្សៃសារពេជ្ញ,ន.
កន្សោម,ន.
កន្សោមតាឱ,ន.
កន្សុំ,ន.
កប,កិ.
កប់,កិ.
កប៉ាល់,ន.
កបិលវត្ថុ,ន.
កប្ប,ន.
កប្បព្រឹក្ស,ន.
កប្បាស,ន.
កម,ន.
កមល,ន.
កម្ចាត់,កិ.
កម្ចាយ,កិ.
កម្ចី,ន.
កម្ជាប់,កិ.
កម្ជិល,ន.
កម្ជេញ,កិ.
កម្ញី,ន.
កម្ដៅ,កិ.
កម្ទរ,កិ.
កម្ទារ,កិ.
កម្ទេច,កិ.
កម្បង់,ន.
កម្ពល,ន.
កម្ពស់,ន.
កម្ពុ,ន.
កម្ពុជ,ន.
កម្ពោជ,ន.
កម្ពោជិក,ន.
កម្ម,ន.
កម្មិកសមាជិក,ន.
កម្រ,ន.
កម្រង,ន.
កម្រាប,កិ.
កម្រាល,ន.
កម្រាស់,គុ.
កម្រិត,ន.
កម្រើក,កិ.
កម្រៀម,ន.
កម្រៀមកម្រោះ,ន.
កម្រៀវ,ន.
កម្រៃ,ន.
កម្លា,កិ.
កម្លាច,គុ.
កម្លោច,កិ.
កម្លៅ,ន.
កម្លាំង,ន.
កម្សត់,ន.
កម្សត់កម្រ,គុ.
កម្សាន្ត,កិ.
កម្សួល,ន.
កម្សោយ,ន.
កម្អួត,ន.
កម្អែល,ន.
កក៌ដ,ម.
កប៌ូរ,ន.
ករ,ន.
ករជកាយ,ន.
ករណនាម,ន.
ករណី,ន.
ករណីយកិច្ច,ន.
ករវិក,ន.
ករី,ន.
ករុណា,ន.
ករុណាវិសេស,និ.
កល,ន.
កល់,កិ.
កល់កែ,ម.
កលហៈ,ន.
កលហប្បវឌ្ឍនី,ន.
កលហពិរោធ,ន.
កលិយុគ,ន.
កលោបាយ,ន.
កល្ប,ន.
កល្បព្រឹក្ស,ន.
កល្បសព្ទ,ន.
កល្យាណ,គុ.
កល្យាណី,ន.
កវី,ន.
កវីនិពន្ធ,ន.
កវីនិពន្ធន៍,ន.
កសិកម្ម,ន.
កសិករ,ន.
កសិការ,ន.
កសិណ,គុ.
កស្យាជីវកម្ម,ន.
កហាបណៈ,ន.
កឡោបិ៍,ន.
កា,ន.
កាក,ន.
កាកគតិ,ន.
កាកណិក,ន.
កាកនាសូរ,ន.
កាកបាទ,ន.
កាក់,ន.
កាក់ៗ,ឧ.
កាកី,ន.
កាខែកកាខោក,ឧ.
កាង,កិ.
កាច,គុ.
កាច់,កិ.
កាច់សង្រែក,ន.
កាញ់,កិ.
កាត,ន.
កាត់,កិ.
កាត់កាល់,កិ.
កាតព្វកិច្ច,ន.
កាត់សាំ,កិ.
កាតាក,ន.
កាតិក,ន.
កាតឹប,ន.
កាតៅ,ន.
កាតំ,ន.
កាន់,កិ.
កាន់តែ,និ.
កាប,ន.
កាបៗ,ឧ.
កាប់,កិ.
កាប៊ីណេត៍,ន.
កាបូប,ន.
កាពិ,ន.
កាពិផៅ,ន.
កាព្យ,ន.
កាម,ន.
កាយ,ន.
កាណ៌,ន.
កាប៌ាស,ន.
ការ,កិ.
ការកនាម,ន.
ការកេត,ន.
ការងារ,ន.
ការដ្ឋាន,ន.
ការណ៍,ន.
ការន្ត,ន.
ការពារ,កិ.
ការាត់,ន.
ការិយកម្ម,ន.
ការិយបរិច្ឆេទ,ន.
ការិយាល័យ,ន.
ការី,ន.
ការី,ន.
ការុង,ន.
ការុញ្ញចិត្ត,ន.
ការុញ្ញភាព,ន.
ការុណិក,ន.
កាល,ន.
កាលកិរិយា,ន.
កាលៈទេសៈ,ន.
កាល់,កិ.
កាលិក,ន.
កាលិកបត្រ,ន.
កាវ,កិ.
កាស,កិ.
កាសអង្ករ,ន.
កាសាវពស្ត្រ,ន.
កាសែត,ន.
កាហាត,ន.
កាហែ,ន.
កាហោ,ន.
កាឡកណ្ណី,ន.
កាឡកិណី,ន.
កាឡា,កិ.
កាឡាប៉ា,ន.
កាឡី,ន.
កាឡៃ,កិ.
កិកិ,ឧ.
កិកកុក,កិ.
កិង,ន.
កិច្ច,ន.
កិត,កិ.
កិតនាម,ន.
កិតអាចម៍,គុ.
កិត្តិ,ន.
កិត្តិគុណ,ន.
កិត្តិនាម,ន.
កិត្តិយស,ន.
កិត្តិសព្ទ,ន.
កិត្យានុភាព,ន.
កិន,កិ.
កិន្នរ,ន.
កិប,កិ.
កិមិជាតិ,ន.
កិរ្តិ៍,ម.
កិរ្តិសព្ទ,ម.
កិរិយា,ន.
កិរិយាវិសេសន៍,ន.
កិរិយាសព្ទ,ន.
កិល,កិ.
កិលេស,ន.
កី,ន.
កីលែន,ន.
កីឡដ្ឋាន,ន.
កីឡា,ន.
កីឡាមណ្ឌល,ន.
កីឡាអត្តពលកម្ម,ន.
កឹងកន្ត្រៃ,កិ.
កឹះ,កិ.
កុក,កិ.
កុក្កុដនេត្រ,ន.
កុង,កិ.
កុងកាប់,កិ.
កុងផាត់,ន.
កុង្សីយ៍,ន.
កុង្សីយ៍សេនាបតី,ន.
កុងស៊ី,ន.
កុងស៊ុល,ន.
កុញ,កិ.
កុញ្ជរ,ន.
កុញ្ជរាធិបតី,គុ.
កុដិ,ន.
កុដិកភត្ត,ន.
កុដុម្ពិកៈ,ន.
